Month,Actual Consumption (kWh),Decision Tree,Random Forest,Exponential Smoothing,Moving Average
Jan-15,279.957,283.001,278.084,257.169,268.563
Feb-15,273.143,273.678,275.650,259.448,276.550
Mar-15,239.450,241.037,241.151,260.818,256.297
Apr-15,250.075,252.802,249.130,258.681,244.763
May-15,231.258,237.901,236.769,257.820,240.667
Jun-15,239.238,249.012,245.117,255.164,235.248
Jul-15,247.003,252.802,250.936,253.571,243.121
Aug-15,295.148,283.001,288.240,252.915,271.076
Sep-15,262.622,273.678,265.515,257.138,278.885
Oct-15,230.201,241.037,235.516,257.686,246.411
Nov-15,243.303,241.037,245.246,254.938,236.752
Dec-15,253.083,258.778,253.187,253.774,248.193
Jan-16,272.757,283.001,277.178,253.705,262.920
Feb-16,278.494,273.678,281.766,255.610,275.626
Mar-16,247.490,241.037,247.496,257.899,262.992
Apr-16,246.434,241.037,246.277,256.858,246.962
May-16,230.154,237.901,236.424,255.815,238.294
Jun-16,239.105,237.901,240.190,253.249,234.630
Jul-16,254.371,249.012,254.868,251.835,246.738
Aug-16,334.185,301.976,308.516,252.089,294.278
Sep-16,291.772,273.678,284.204,260.298,312.979
Oct-16,230.633,241.037,235.781,263.446,261.203
Nov-16,241.823,241.037,243.562,260.164,236.228
Dec-16,252.050,258.778,252.815,258.330,246.936
